[04 maj 2018 at 01:04:20 CEST] - ::players 
[05 maj 2018 at 07:10:53 CEST] - ::tele 0,42,83,40,19
[05 maj 2018 at 07:10:54 CEST] - ::tele 0,42,83,52,16
[05 maj 2018 at 07:10:56 CEST] - ::tele 0,42,83,37,13
[05 maj 2018 at 07:10:58 CEST] - ::tele 0,42,83,29,2
[05 maj 2018 at 07:10:59 CEST] - ::tele 0,42,83,16,0
[05 maj 2018 at 07:11:01 CEST] - ::tele 0,42,83,6,5
[05 maj 2018 at 07:11:03 CEST] - ::tele 0,42,83,8,19
[05 maj 2018 at 07:11:06 CEST] - ::tele 0,42,83,17,25
[05 maj 2018 at 07:11:07 CEST] - ::tele 0,42,83,26,36
[05 maj 2018 at 07:11:46 CEST] - ::tele 0,42,83,49,39
[05 maj 2018 at 07:12:42 CEST] - ::tele 1,42,82,11,32
[05 maj 2018 at 07:12:49 CEST] - ::tele 1,42,82,22,34
[05 maj 2018 at 07:12:50 CEST] - ::tele 1,42,82,27,40
[05 maj 2018 at 07:12:51 CEST] - ::tele 1,42,82,29,51
[05 maj 2018 at 07:12:52 CEST] - ::tele 1,42,82,44,58
[05 maj 2018 at 07:12:53 CEST] - ::tele 1,42,83,50,1
[05 maj 2018 at 07:12:56 CEST] - ::tele 1,42,82,42,53
[05 maj 2018 at 07:12:57 CEST] - ::tele 0,42,82,42,53
[05 maj 2018 at 07:12:57 CEST] - ::tele 0,42,82,42,53
[05 maj 2018 at 07:12:59 CEST] - ::tele 0,42,83,32,0
[05 maj 2018 at 07:13:02 CEST] - ::tele 0,42,83,29,9
[05 maj 2018 at 07:13:04 CEST] - ::tele 0,42,83,30,14
[05 maj 2018 at 07:13:06 CEST] - ::tele 0,42,83,28,21
[05 maj 2018 at 07:13:08 CEST] - ::tele 0,42,83,29,34
[05 maj 2018 at 07:13:10 CEST] - ::tele 0,42,83,23,41
[05 maj 2018 at 07:17:04 CEST] - ::tele 1,42,82,35,8
[05 maj 2018 at 07:17:20 CEST] - ::tele 1,42,81,34,60
[05 maj 2018 at 07:17:22 CEST] - ::tele 2,42,81,34,60
[05 maj 2018 at 07:17:24 CEST] - ::tele 3,42,81,34,60
[05 maj 2018 at 07:17:30 CEST] - ::tele 2,42,82,34,1
[05 maj 2018 at 07:17:31 CEST] - ::tele 1,42,82,34,1
[05 maj 2018 at 07:17:33 CEST] - ::tele 1,42,82,33,7
[05 maj 2018 at 07:17:35 CEST] - ::tele 0,42,82,33,7
[05 maj 2018 at 07:17:37 CEST] - ::tele 0,42,82,34,13
[05 maj 2018 at 07:18:42 CEST] - ::tele 1,42,82,32,25
[05 maj 2018 at 07:18:45 CEST] - ::tele 1,42,82,31,26
[05 maj 2018 at 07:18:50 CEST] - ::tele 0,42,82,31,26
[05 maj 2018 at 07:19:03 CEST] - ::tele 0,42,82,33,30
[05 maj 2018 at 07:19:05 CEST] - ::tele 0,42,82,33,30
[05 maj 2018 at 07:19:08 CEST] - ::tele 0,42,82,33,42
[05 maj 2018 at 07:19:10 CEST] - ::tele 0,42,82,30,52
[05 maj 2018 at 07:19:39 CEST] - ::tele 2,42,82,34,1
[05 maj 2018 at 07:19:43 CEST] - ::tele 1,42,82,34,1
[05 maj 2018 at 07:19:45 CEST] - ::tele 1,42,82,35,7
[05 maj 2018 at 07:19:47 CEST] - ::tele 1,42,81,35,62
[05 maj 2018 at 07:19:49 CEST] - ::tele 1,42,82,34,6
[05 maj 2018 at 07:19:51 CEST] - ::tele 0,42,82,34,6
[05 maj 2018 at 07:19:52 CEST] - ::tele 0,42,82,34,16
[05 maj 2018 at 07:20:01 CEST] - ::tele 0,42,82,34,16
[05 maj 2018 at 07:21:38 CEST] - ::tele 0,42,83,57,61
[05 maj 2018 at 07:24:20 CEST] - ::tele 0,51,150,54,4
[05 maj 2018 at 07:24:29 CEST] - ::tele 0,51,150,54,2
[05 maj 2018 at 07:24:34 CEST] - ::tele 0,51,150,54,2
[05 maj 2018 at 07:25:18 CEST] - ::tele 0,42,83,59,61
[05 maj 2018 at 07:30:11 CEST] - ::tele 1,42,82,35,7
[05 maj 2018 at 07:30:20 CEST] - ::tele 0,42,82,35,7
[05 maj 2018 at 07:30:23 CEST] - ::tele 0,42,82,34,15
[05 maj 2018 at 07:30:49 CEST] - ::tele 1,42,82,35,6
[05 maj 2018 at 07:30:56 CEST] - ::tele 1,42,81,33,60
[05 maj 2018 at 07:30:59 CEST] - ::tele 0,42,81,33,60
[05 maj 2018 at 07:31:02 CEST] - ::tele 1,42,81,33,60
[05 maj 2018 at 07:31:03 CEST] - ::tele 0,42,81,33,60
[05 maj 2018 at 07:31:04 CEST] - ::tele 0,42,81,27,51
[05 maj 2018 at 07:31:40 CEST] - ::tele 0,42,81,21,32
[05 maj 2018 at 07:31:42 CEST] - ::tele 0,42,81,23,27
[05 maj 2018 at 07:33:57 CEST] - ::tele 0,42,81,43,51
[05 maj 2018 at 07:34:14 CEST] - ::tele 0,42,81,41,50
